,bt,bz,yogunluk,hız,kp
337,5.0,1.9,6.4,317.0,3.0
338,5.0,3.2,6.9,331.0,0.0
339,5.0,2.9,6.8,332.0,0.0
340,4.3,0.6,7.3,329.0,0.0
341,4.0,-0.8,7.1,326.0,7.0
342,3.3,-0.7,7.8,325.0,7.0
343,3.7,1.0,8.4,329.0,7.0
344,4.8,-3.1,7.5,331.0,20.0
345,3.7,1.3,8.1,331.0,20.0
346,2.0,-0.1,8.1,331.0,20.0
347,2.1,0.6,7.9,326.0,7.0
348,2.8,-0.9,7.7,326.0,7.0
349,3.6,-1.5,9.3,320.0,7.0
350,3.6,-1.5,10.6,316.0,7.0
351,4.1,-2.2,12.1,312.0,7.0
352,4.4,-0.5,15.1,312.0,7.0
353,4.8,-0.6,16.1,309.0,7.0
354,5.5,-1.3,18.1,310.0,7.0
355,5.5,-3.4,22.0,318.0,7.0
356,3.3,-0.4,25.1,315.0,13.0
357,3.8,-0.6,22.9,309.0,13.0
358,5.9,-1.0,15.9,301.0,13.0
359,5.4,-0.3,13.9,306.0,7.0
360,5.3,-0.4,13.8,313.0,7.0
361,4.7,-1.0,16.8,321.0,7.0
362,4.8,-0.9,20.0,327.0,23.0
363,4.3,2.7,23.1,329.0,23.0
364,5.6,2.2,19.0,335.0,23.0
365,4.5,2.0,17.6,350.0,17.0
366,5.4,2.1,12.5,350.0,17.0
367,5.3,-0.6,9.0,354.0,17.0
368,5.5,-1.9,5.6,363.0,13.0
369,3.2,-0.4,4.3,383.0,13.0
370,2.2,-0.8,4.3,380.0,13.0
371,3.5,-0.6,3.1,378.0,7.0
372,3.4,-1.1,2.7,374.0,7.0
373,3.7,-2.0,2.4,362.0,7.0
374,2.5,-0.4,4.1,355.0,7.0
375,2.6,-1.9,5.3,356.0,7.0
376,2.2,-0.8,5.6,349.0,7.0
377,2.0,-0.3,5.5,351.0,3.0
378,3.5,-0.4,4.1,349.0,3.0
379,3.8,1.2,4.1,342.0,3.0
380,4.0,1.1,3.8,345.0,3.0
381,3.3,0.2,7.1,338.0,3.0
382,3.3,1.1,7.0,326.0,3.0
383,2.8,1.0,7.9,320.0,7.0
384,2.3,0.1,8.8,312.0,7.0
385,2.5,1.0,8.9,310.0,7.0
386,2.6,1.8,9.6,311.0,3.0
387,3.1,1.1,8.6,318.0,3.0
388,4.1,2.1,7.0,328.0,3.0
389,3.8,1.7,7.7,328.0,3.0
390,3.6,1.4,7.6,326.0,3.0
391,3.4,2.1,9.1,328.0,3.0
392,3.4,1.7,8.9,326.0,0.0
393,3.2,3.1,8.6,324.0,0.0
394,2.4,2.3,8.6,324.0,0.0
395,1.8,-0.3,9.6,324.0,3.0
396,1.9,-1.1,10.5,326.0,3.0
397,2.3,-1.5,11.2,328.0,3.0
398,3.4,-2.7,10.3,333.0,13.0
399,5.1,-2.0,7.8,334.0,13.0
400,5.8,0.5,7.3,331.0,13.0
401,5.2,3.1,10.5,332.0,10.0
402,3.5,2.8,12.7,333.0,10.0
403,2.5,-0.2,13.7,330.0,10.0
404,2.1,-0.6,14.0,324.0,3.0
405,1.8,0.9,14.0,323.0,3.0
406,2.5,1.0,12.0,321.0,3.0
407,2.1,1.2,14.1,328.0,17.0
408,2.6,2.5,14.5,330.0,17.0
409,4.4,-2.9,10.2,326.0,17.0
410,5.2,-0.3,9.2,322.0,17.0
411,3.9,1.6,10.1,323.0,17.0
412,3.0,-0.3,10.8,322.0,17.0
413,3.5,-1.9,9.4,332.0,7.0
414,3.4,0.5,9.2,331.0,7.0
415,4.1,-0.5,6.4,328.0,7.0
416,3.6,0.4,6.3,327.0,0.0
417,3.1,-0.9,6.8,338.0,0.0
418,2.7,-0.8,6.8,339.0,0.0
419,2.9,-1.0,7.6,341.0,3.0
420,2.2,-0.6,8.6,337.0,3.0
421,2.4,-0.8,9.2,335.0,3.0
422,2.8,0.5,9.1,334.0,0.0
423,2.1,0.3,11.3,336.0,0.0
424,2.2,1.0,13.7,339.0,0.0
425,2.6,1.3,14.1,338.0,0.0
426,2.9,2.4,12.9,332.0,0.0
427,2.6,2.2,12.3,328.0,0.0
428,2.9,0.9,9.5,328.0,3.0
429,3.8,1.8,6.3,322.0,3.0
430,3.9,2.9,6.2,320.0,3.0
431,3.7,3.0,6.2,320.0,0.0
432,3.5,2.1,6.9,321.0,0.0
433,4.0,2.8,7.2,325.0,0.0
434,3.7,0.8,8.0,327.0,7.0
435,3.4,-1.3,7.8,336.0,7.0
436,3.4,-1.4,7.1,333.0,7.0
437,3.1,-0.2,6.2,321.0,0.0
438,3.7,-1.7,4.7,336.0,0.0
439,3.4,-1.2,4.8,341.0,0.0
440,3.1,0.5,4.9,344.0,0.0
441,3.0,-0.9,4.7,345.0,0.0
442,2.4,-0.5,5.6,329.0,0.0
443,2.5,-1.2,6.0,328.0,0.0
444,2.9,0.1,5.5,328.0,0.0
445,2.5,-1.3,6.2,328.0,0.0
446,2.7,-1.9,6.0,328.0,3.0
447,2.4,-0.5,6.4,321.0,3.0
448,2.3,-0.8,7.0,320.0,3.0
449,1.5,-0.6,9.0,320.0,0.0
450,1.2,0.2,9.1,316.0,0.0
451,0.8,0.4,8.8,311.0,0.0
452,1.2,0.8,8.6,309.0,0.0
453,2.0,1.0,6.0,312.0,0.0
454,1.5,0.2,4.5,299.0,0.0
455,1.8,-0.6,4.6,303.0,0.0
456,2.3,-1.1,4.6,308.0,0.0
457,2.4,-1.8,4.2,309.0,0.0
458,2.1,-0.8,4.7,311.0,3.0
459,1.9,-1.1,5.3,313.0,3.0
460,1.5,-0.4,6.0,311.0,3.0
462,3.1,-1.5,5.1,304.0,0.0
463,2.8,0.2,4.9,300.0,0.0
464,2.2,-0.9,5.5,303.0,0.0
465,2.4,-0.2,5.4,302.0,0.0
466,2.1,0.2,5.4,297.0,0.0
467,2.0,-0.3,5.7,301.0,0.0
468,2.4,-1.6,6.4,307.0,0.0
469,2.1,-0.6,6.3,306.0,0.0
470,2.2,0.2,5.9,302.0,0.0
471,2.1,-1.2,6.3,295.0,0.0
472,2.0,-1.0,6.2,295.0,0.0
473,1.9,-1.3,6.3,291.0,3.0
474,2.0,-1.3,6.3,289.0,3.0
475,2.0,-0.5,6.0,287.0,3.0
476,1.9,-0.3,5.9,284.0,0.0
477,1.9,-0.5,5.9,282.0,0.0
478,1.5,-0.7,6.4,280.0,0.0
479,1.4,-0.2,6.8,279.0,0.0
480,1.5,-0.8,7.4,281.0,0.0
481,1.5,0.6,7.9,280.0,0.0
482,1.6,1.1,7.6,283.0,0.0
483,1.6,1.0,7.6,285.0,0.0
484,1.5,0.2,8.1,285.0,0.0
485,2.2,-1.8,9.0,290.0,7.0
486,2.7,-2.4,11.8,296.0,7.0
487,3.2,-2.6,13.0,299.0,7.0
488,2.5,-0.2,16.0,301.0,10.0
489,2.4,1.2,21.7,307.0,10.0
490,4.4,2.7,22.2,313.0,10.0
491,6.7,3.1,20.3,316.0,13.0
493,8.9,-6.7,16.1,323.0,13.0
494,8.1,-3.7,16.4,327.0,27.0
495,6.8,4.1,15.9,338.0,27.0
496,6.7,1.0,13.9,333.0,27.0
497,7.7,-5.5,12.2,335.0,23.0
498,7.3,-2.4,9.1,339.0,23.0
499,7.2,1.8,8.7,336.0,23.0
500,7.2,2.1,9.2,336.0,23.0
501,6.6,-4.5,9.2,347.0,23.0
502,7.1,-3.0,8.3,344.0,23.0
503,6.7,-2.3,7.1,336.0,17.0
504,6.9,-2.9,7.7,338.0,17.0
505,7.5,-1.7,7.7,335.0,17.0
506,7.0,-3.2,7.3,342.0,23.0
507,7.2,-4.8,7.7,350.0,23.0
508,7.0,-3.1,6.9,346.0,23.0
509,7.5,-0.7,5.1,351.0,10.0
510,7.6,0.2,5.4,342.0,10.0
511,8.2,-1.9,5.4,347.0,10.0
512,8.2,-3.8,6.3,342.0,13.0
513,7.2,-4.1,6.2,345.0,13.0
